Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,16/09/00,Olympiakos,Eth Asteras,6,0,H,2,0,H,,,,,,,1814.0,1400.0
G1,16/09/00,Panathinaikos,Yiannina,2,1,H,1,0,H,,,,,,,1750.77,1400.0
G1,17/09/00,Ionikos,Athinaikos,1,0,H,1,0,H,,,,,,,1464.23,1400.0
G1,17/09/00,Kalamata,PAOK,0,0,D,0,0,D,,,,,,,1442.69,1549.72
G1,17/09/00,Panahaiki,Xanthi,1,1,D,1,0,H,,,,,,,1417.5,1424.15
G1,17/09/00,Paniliakos,Panionios,1,1,D,1,1,D,,,,,,,1371.93,1383.66
G1,18/09/00,AEK,Iraklis,2,0,H,1,0,H,,,,,,,1641.6,1453.69
G1,18/09/00,OFI,Aris,2,3,A,2,1,H,,,,,,,1535.32,1483.69
G1,23/09/00,Panionios,Panathinaikos,0,2,A,0,1,A,,,,,,,1386.77,1752.51
G1,24/09/00,Aris,Paniliakos,1,0,H,1,0,H,,,,,,,1501.32,1368.82
G1,24/09/00,Athinaikos,AEK,0,3,A,0,2,A,,,,,,,1393.0,1645.6
G1,24/09/00,Eth Asteras,Ionikos,1,0,H,1,0,H,,,,,,,1398.77,1471.23
G1,24/09/00,Iraklis,Panahaiki,2,0,H,0,0,D,,,,,,,1449.69,1414.22
G1,24/09/00,OFI,Olympiakos,1,2,A,0,1,A,,,,,,,1517.69,1815.23
G1,24/09/00,Yiannina,PAOK,1,3,A,1,2,A,,,,,,,1398.26,1549.47
G1,25/09/00,Xanthi,Kalamata,2,1,H,2,0,H,,,,,,,1427.43,1442.94
G1,30/09/00,Yiannina,Xanthi,1,1,D,0,1,A,,,,,,,1387.59,1436.95
G1,01/10/00,AEK,Eth Asteras,2,2,D,2,0,H,,,,,,,1652.94,1410.28
G1,01/10/00,Kalamata,Iraklis,0,0,D,0,0,D,,,,,,,1433.42,1457.55
