Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,LBH,LBD,LBA,WHH,WHD,WHA,EloHome,EloAway
SC3,05/08/00,Albion Rvs,East Fife,0,1,A,0,0,D,421,John Gilmore,9.0,5.0,1.0,1.0,1.0,0.0,4.0,2.0,17.0,16.0,3.0,5.0,3,2,0,0,30,20,,,,3.1,3.6,1.9,941.02,1140.88
SC3,05/08/00,Brechin,Elgin,2,1,H,1,1,D,509,Craig Thompson,13.0,5.0,4.0,3.0,2.0,0.0,8.0,1.0,12.0,21.0,1.0,6.0,1,4,0,0,10,40,,,,2.1,3.6,2.7,1051.06,1140.0
SC3,05/08/00,East Stirling,Cowdenbeath,0,2,A,0,1,A,272,Ian Brines,9.0,14.0,1.0,8.0,0.0,0.0,1.0,5.0,16.0,17.0,2.0,8.0,1,1,1,0,35,10,,,,2.6,3.5,2.2,1028.89,1083.63
SC3,05/08/00,Hamilton,Dumbarton,2,0,H,0,0,D,588,Charlie Richmond,14.0,12.0,9.0,5.0,0.0,0.0,5.0,6.0,13.0,10.0,2.0,1.0,1,3,0,0,10,30,,,,1.66,3.6,4.0,1137.07,1116.9
SC3,05/08/00,Peterhead,Montrose,2,0,H,1,0,H,688,Calum Murray,16.0,17.0,3.0,6.0,0.0,1.0,9.0,4.0,8.0,7.0,4.0,2.0,0,0,0,0,0,0,,,,2.0,3.6,2.87,1140.0,1000.15
SC3,12/08/00,Cowdenbeath,Albion Rvs,5,0,H,2,0,H,302,Calum Murray,10.0,15.0,6.0,5.0,0.0,1.0,8.0,2.0,23.0,15.0,6.0,1.0,2,1,0,0,20,10,,,,1.57,3.5,5.0,1097.75,932.02
SC3,12/08/00,Dumbarton,Brechin,0,2,A,0,0,D,370,Steve Conroy,3.0,9.0,1.0,5.0,1.0,0.0,6.0,7.0,4.0,8.0,7.0,5.0,0,1,0,0,0,10,,,,2.5,3.5,2.25,1108.56,1063.16
SC3,12/08/00,East Fife,Peterhead,1,1,D,1,0,H,619,Eddie Mack,5.0,4.0,4.0,4.0,0.0,1.0,4.0,1.0,6.0,10.0,2.0,1.0,0,0,0,0,0,0,,,,1.9,3.5,3.2,1149.88,1145.02
SC3,12/08/00,Elgin,Hamilton,0,2,A,0,1,A,1552,Gary Mitchell,,,,,,,,,,,,,1,2,1,0,35,20,,,,3.75,3.6,1.72,1127.9,1145.41
SC3,12/08/00,Montrose,East Stirling,0,1,A,0,1,A,361,Craig Thompson,16.0,12.0,5.0,5.0,0.0,0.0,9.0,3.0,13.0,11.0,6.0,5.0,1,0,0,0,10,0,,,,2.37,3.5,2.37,995.13,1014.77
