Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,EloHome,EloAway
I2,01/10/00,Ravenna,Pistoiese,1,4,A,0,1,A,,,,1.8,2.6,4.0,1.75,2.6,5.5,1443.59,1488.87
I2,01/10/00,Siena,Ternana,0,0,D,0,0,D,,,,1.9,2.6,3.5,1.9,2.45,4.8,1519.06,1487.81
I2,01/10/00,Treviso,Crotone,3,2,H,1,0,H,,,,1.6,2.9,4.5,1.65,2.7,6.2,1449.24,1454.56
I2,02/10/00,Torino,Sampdoria,1,0,H,1,0,H,,,,2.2,2.4,3.4,2.15,2.5,3.65,1515.15,1569.34
I2,06/10/00,Piacenza,Cagliari,0,0,D,0,0,D,,,,2.0,2.3,3.6,2.1,2.6,3.6,1475.28,1493.47
I2,08/10/00,Chievo,Cittadella,2,2,D,2,1,H,,,,1.8,2.3,4.2,1.75,2.75,5.0,1504.46,1489.42
I2,08/10/00,Cosenza,Ancona,3,2,H,1,0,H,,,,1.7,2.4,4.5,1.8,2.65,4.8,1489.85,1492.79
I2,08/10/00,Monza,Torino,2,3,A,0,1,A,,,,2.8,2.3,2.6,2.85,2.45,2.65,1479.0,1526.01
I2,08/10/00,Pescara,Ravenna,1,1,D,1,1,D,,,,1.8,2.3,4.2,1.8,2.6,5.0,1442.41,1429.14
I2,08/10/00,Pistoiese,Treviso,0,1,A,0,1,A,,,,1.7,2.4,4.5,1.75,2.6,5.5,1503.32,1458.42
I2,08/10/00,Salernitana,Siena,3,0,H,1,0,H,,,,1.6,2.5,5.0,1.75,2.7,6.0,1506.65,1514.55
I2,08/10/00,Sampdoria,Empoli,0,1,A,0,0,D,,,,1.5,2.6,5.5,1.5,3.15,6.5,1558.48,1493.14
I2,08/10/00,Venezia,Crotone,1,1,D,0,1,A,,,,1.4,2.8,6.5,1.4,3.2,9.0,1514.71,1445.38
I2,09/10/00,Ternana,Genoa,1,0,H,0,0,D,,,,2.0,2.3,3.6,2.1,2.5,3.8,1492.32,1498.89
I2,20/10/00,Siena,Pescara,0,0,D,0,0,D,1.91,2.7,4.1,1.7,2.7,4.5,2.0,2.5,4.1,1505.29,1438.47
I2,22/10/00,Ancona,Pistoiese,2,1,H,1,0,H,2.05,2.55,3.8,1.9,2.5,3.8,2.0,2.5,4.1,1483.69,1485.89
I2,22/10/00,Cagliari,Monza,2,1,H,2,0,H,1.41,3.5,6.25,1.45,3.0,6.0,1.4,3.5,7.0,1496.36,1464.61
I2,22/10/00,Cittadella,Sampdoria,2,2,D,1,2,A,2.75,2.5,2.6,2.7,2.5,2.5,2.7,2.5,2.7,1493.41,1540.44
I2,22/10/00,Crotone,Piacenza,2,0,H,0,0,D,3.35,2.55,2.2,3.0,2.5,2.3,3.1,2.5,2.4,1451.03,1472.39
I2,22/10/00,Empoli,Cosenza,0,1,A,0,1,A,1.97,2.6,3.9,2.1,2.5,3.4,1.9,2.5,4.5,1511.18,1498.95
I2,22/10/00,Genoa,Venezia,1,1,D,0,1,A,2.45,2.7,2.8,2.5,2.5,2.7,2.4,2.6,2.9,1489.67,1509.06
I2,22/10/00,Ravenna,Chievo,0,0,D,0,0,D,2.35,2.5,3.1,2.3,2.4,3.2,2.25,2.6,3.2,1433.08,1500.47
I2,22/10/00,Torino,Ternana,1,1,D,0,1,A,1.57,2.9,6.0,1.5,3.2,5.0,1.55,3.2,5.5,1540.4,1501.54
I2,23/10/00,Treviso,Salernitana,1,0,H,1,0,H,2.41,2.5,3.1,2.4,2.5,2.8,2.35,2.5,3.1,1475.85,1515.91
I2,27/10/00,Empoli,Ravenna,3,2,H,1,1,D,1.8,3.0,4.2,1.75,2.4,4.4,1.75,2.65,5.3,1494.78,1431.91
I2,29/10/00,Chievo,Ancona,1,0,H,1,0,H,1.85,2.8,4.2,1.7,2.7,4.5,1.85,2.55,4.8,1501.64,1492.76
I2,29/10/00,Cosenza,Siena,3,1,H,2,0,H,1.85,2.65,4.8,1.7,2.6,4.7,1.8,2.55,5.2,1515.35,1499.71
I2,29/10/00,Monza,Cittadella,1,0,H,1,0,H,2.25,2.5,3.6,2.2,2.2,3.7,2.1,2.6,3.6,1456.64,1491.52
I2,29/10/00,Pescara,Genoa,1,1,D,0,0,D,2.3,2.6,3.2,2.3,2.3,3.2,2.2,2.5,3.5,1444.05,1486.82
I2,29/10/00,Piacenza,Torino,3,1,H,0,0,D,2.3,2.6,3.2,2.2,2.3,3.3,2.25,2.4,3.6,1462.67,1535.65
I2,29/10/00,Pistoiese,Crotone,0,4,A,0,1,A,1.85,2.7,4.75,1.8,2.4,4.6,1.85,2.5,5.0,1476.82,1460.75
I2,29/10/00,Sampdoria,Cagliari,2,1,H,0,0,D,2.35,2.45,3.4,2.2,2.4,3.2,2.25,2.5,3.4,1542.33,1504.33
I2,29/10/00,Ternana,Salernitana,0,0,D,0,0,D,2.2,2.4,3.9,2.0,2.4,3.7,2.0,2.55,4.0,1506.29,1505.55
I2,29/10/00,Venezia,Treviso,3,0,H,1,0,H,1.7,3.0,5.0,1.65,2.7,4.7,1.75,2.6,5.5,1511.91,1486.21
I2,01/11/00,Cagliari,Pistoiese,0,0,D,0,0,D,1.5,3.2,6.8,1.4,3.3,6.0,1.4,3.4,7.5,1496.55,1460.29
I2,01/11/00,Chievo,Empoli,1,0,H,0,0,D,2.0,2.6,4.0,1.8,2.5,4.3,1.9,2.55,4.5,1510.35,1501.81
I2,01/11/00,Cittadella,Torino,2,1,H,0,1,A,2.8,2.75,2.45,2.8,2.4,2.5,2.85,2.55,2.55,1481.34,1524.12
I2,01/11/00,Crotone,Sampdoria,1,1,D,1,0,H,2.8,2.5,2.7,2.8,2.4,2.5,2.8,2.5,2.65,1477.28,1550.11
I2,01/11/00,Genoa,Cosenza,2,1,H,2,0,H,2.25,2.6,3.3,2.2,2.4,3.2,2.1,2.55,3.7,1488.86,1523.84
I2,01/11/00,Pescara,Ancona,2,3,A,2,1,H,2.3,2.6,3.2,1.9,2.6,3.7,1.9,2.65,4.2,1442.01,1484.05
I2,01/11/00,Salernitana,Piacenza,3,0,H,1,0,H,2.3,2.6,3.2,2.1,2.4,3.5,2.4,2.5,3.1,1509.08,1474.2
I2,01/11/00,Siena,Venezia,1,3,A,1,1,D,2.6,2.6,2.8,2.8,2.4,2.5,2.7,2.5,2.7,1491.22,1520.08
I2,01/11/00,Ternana,Monza,4,1,H,3,1,H,1.7,2.8,5.4,1.6,2.7,5.2,1.6,2.85,6.2,1502.76,1466.82
I2,01/11/00,Treviso,Ravenna,0,0,D,0,0,D,1.8,2.8,4.6,1.8,2.5,4.3,1.65,2.8,5.7,1478.04,1424.88
I2,05/11/00,Ancona,Salernitana,4,1,H,3,0,H,2.3,2.6,3.25,2.3,2.3,3.2,2.35,2.5,3.2,1498.62,1516.96
I2,05/11/00,Cosenza,Cittadella,1,0,H,0,0,D,1.66,2.9,5.45,1.6,2.7,5.2,1.65,2.75,6.0,1513.65,1491.8
I2,05/11/00,Empoli,Treviso,2,1,H,2,0,H,1.85,2.65,4.7,1.65,2.7,5.0,1.9,2.5,4.7,1493.09,1472.86
I2,05/11/00,Monza,Crotone,0,1,A,0,0,D,2.05,2.8,3.5,2.0,2.5,3.6,2.05,2.5,4.0,1458.98,1476.3
I2,05/11/00,Piacenza,Ternana,3,0,H,3,0,H,1.85,2.7,4.65,1.75,2.5,4.7,1.7,2.65,5.8,1466.32,1510.6
I2,05/11/00,Pistoiese,Chievo,1,0,H,0,0,D,2.5,2.6,2.9,2.7,2.4,2.6,2.45,2.5,3.0,1464.96,1519.07
I2,05/11/00,Ravenna,Cagliari,2,4,A,0,2,A,2.8,2.5,2.65,2.8,2.4,2.5,2.8,2.5,2.6,1430.06,1491.88
I2,05/11/00,Torino,Siena,1,1,D,0,1,A,1.55,3.05,6.5,1.55,2.7,5.5,1.45,3.25,7.0,1513.66,1476.2
I2,05/11/00,Venezia,Pescara,1,1,D,0,1,A,1.5,2.95,7.5,1.45,3.0,6.5,1.45,3.15,7.5,1535.1,1427.44
I2,07/11/00,Sampdoria,Genoa,2,0,H,0,0,D,2.25,2.65,3.2,2.1,2.5,3.3,2.25,2.5,3.4,1551.09,1499.05
I2,10/11/00,Salernitana,Venezia,0,1,A,0,1,A,2.35,2.55,3.2,2.3,2.4,3.0,2.35,2.4,3.3,1507.35,1528.41
I2,12/11/00,Chievo,Torino,4,2,H,2,1,H,2.3,2.5,3.35,2.2,2.6,3.0,2.25,2.4,3.6,1508.21,1508.96
I2,12/11/00,Cittadella,Empoli,2,2,D,2,0,H,2.25,2.5,3.55,2.1,2.5,3.3,2.2,2.45,3.6,1483.51,1501.43
I2,12/11/00,Crotone,Ancona,1,0,H,0,0,D,2.1,2.55,3.9,2.0,2.6,3.4,2.1,2.45,3.9,1491.72,1508.23
I2,12/11/00,Genoa,Monza,3,1,H,0,0,D,1.66,2.8,5.7,1.55,2.9,5.0,1.6,2.7,7.0,1491.7,1443.56
I2,12/11/00,Pescara,Piacenza,0,0,D,0,0,D,2.55,2.5,3.0,2.4,2.5,2.8,2.6,2.5,2.85,1434.13,1476.83
I2,12/11/00,Siena,Ravenna,5,1,H,3,0,H,1.8,2.7,5.0,1.8,2.5,4.3,1.85,2.55,4.8,1480.9,1416.19
I2,12/11/00,Ternana,Pistoiese,3,2,H,3,1,H,1.7,2.85,5.0,1.7,2.6,4.7,1.6,2.8,6.5,1500.09,1475.82
I2,12/11/00,Treviso,Sampdoria,0,2,A,0,0,D,2.5,2.5,3.0,2.6,2.4,2.7,2.55,2.4,3.0,1464.52,1558.44
I2,13/11/00,Cagliari,Cosenza,1,1,D,0,1,A,1.8,2.7,4.75,1.75,2.6,4.3,1.7,2.65,5.8,1505.75,1521.94
I2,17/11/00,Empoli,Siena,2,0,H,1,0,H,1.9,2.7,4.2,1.85,2.5,4.2,1.95,2.45,4.6,1504.33,1487.88
I2,19/11/00,Ancona,Genoa,1,0,H,1,0,H,2.2,2.6,3.5,1.9,2.5,3.8,2.2,2.45,3.6,1498.68,1499.17
I2,19/11/00,Cittadella,Treviso,2,2,D,1,1,D,2.05,2.5,4.1,1.85,2.5,4.2,2.0,2.55,4.1,1480.61,1451.8
I2,19/11/00,Cosenza,Salernitana,1,0,H,0,0,D,2.0,2.6,4.0,1.75,2.5,4.7,2.0,2.55,4.1,1524.9,1492.06
I2,19/11/00,Pistoiese,Pescara,1,0,H,0,0,D,2.15,2.55,3.7,2.2,2.3,3.5,2.15,2.5,3.65,1467.61,1432.09
I2,19/11/00,Ravenna,Ternana,2,2,D,1,1,D,2.65,2.55,2.75,2.6,2.3,2.8,2.45,2.5,3.0,1409.21,1508.3
I2,19/11/00,Sampdoria,Chievo,1,1,D,1,0,H,1.75,2.8,4.9,1.6,2.7,5.2,1.65,2.7,6.2,1571.16,1517.23
I2,19/11/00,Torino,Crotone,1,0,H,1,0,H,1.75,2.75,5.0,1.6,2.7,5.2,1.75,2.6,5.5,1499.94,1501.27
I2,19/11/00,Venezia,Cagliari,2,2,D,1,2,A,2.1,2.6,3.75,1.8,2.5,4.4,2.1,2.4,4.1,1543.7,1502.79
I2,20/11/00,Monza,Piacenza,1,1,D,0,0,D,2.75,2.55,2.65,2.6,2.5,2.6,2.95,2.4,2.6,1436.09,1478.87
I2,23/11/00,Genoa,Torino,2,1,H,1,1,D,,,,,,,,,,1490.16,1508.98
I2,26/11/00,Cagliari,Cittadella,3,0,H,3,0,H,1.55,3.1,6.6,1.5,2.7,6.8,1.5,2.95,7.5,1507.6,1476.18
I2,26/11/00,Chievo,Pescara,0,2,A,0,1,A,1.7,2.8,5.5,1.65,2.6,5.2,1.7,2.7,5.6,1522.43,1424.23
I2,26/11/00,Crotone,Empoli,3,1,H,1,1,D,2.15,2.6,3.65,2.1,2.5,3.3,2.1,2.6,3.6,1492.23,1512.79
I2,26/11/00,Piacenza,Ancona,1,1,D,1,0,H,1.67,2.9,5.8,1.55,2.7,6.0,1.6,2.8,6.5,1480.91,1507.69
I2,26/11/00,Siena,Monza,3,1,H,1,0,H,1.75,2.7,5.3,1.7,2.5,5.0,1.75,2.6,5.5,1479.42,1434.05
I2,26/11/00,Ternana,Venezia,3,1,H,1,0,H,2.4,2.6,3.2,2.4,2.3,3.0,2.45,2.45,3.1,1508.33,1538.89
I2,26/11/00,Treviso,Cosenza,1,1,D,0,0,D,2.5,2.5,3.2,2.4,2.3,3.0,2.4,2.5,3.1,1456.23,1532.84
I2,27/11/00,Ravenna,Sampdoria,0,0,D,0,0,D,3.2,2.6,2.35,3.0,2.4,2.3,3.15,2.65,2.25,1409.18,1565.96
I2,01/12/00,Pescara,Salernitana,2,2,D,1,0,H,2.25,2.6,3.3,2.1,2.4,3.4,2.15,2.5,3.65,1443.18,1484.12
I2,03/12/00,Ancona,Ternana,3,1,H,1,1,D,2.1,2.55,3.8,1.9,2.5,3.8,2.05,2.5,4.0,1510.29,1518.36
I2,03/12/00,Cittadella,Crotone,2,0,H,1,0,H,2.1,2.5,4.0,2.2,2.5,3.1,2.05,2.5,4.0,1468.19,1501.92
I2,03/12/00,Empoli,Cagliari,0,3,A,0,2,A,2.4,2.6,3.1,2.3,2.4,3.0,2.5,2.5,2.95,1503.1,1515.59
I2,03/12/00,Monza,Treviso,1,1,D,0,0,D,2.15,2.5,3.8,1.9,2.5,3.8,2.05,2.5,4.0,1426.49,1455.39
I2,03/12/00,Pistoiese,Genoa,3,3,D,2,1,H,2.2,2.5,3.7,2.2,2.5,3.1,2.15,2.5,3.65,1475.47,1499.79
I2,03/12/00,Sampdoria,Siena,1,1,D,0,0,D,1.5,3.2,6.5,1.45,3.0,6.0,1.5,3.0,7.25,1563.94,1486.98
I2,03/12/00,Torino,Ravenna,2,1,H,1,0,H,1.5,3.0,6.5,1.45,2.8,7.0,1.5,3.0,7.25,1499.35,1411.2
I2,03/12/00,Venezia,Piacenza,1,0,H,0,0,D,2.0,2.5,4.5,1.85,2.4,4.5,2.0,2.5,4.2,1528.86,1478.31
I2,04/12/00,Cosenza,Chievo,1,2,A,1,0,H,1.7,2.8,5.5,1.7,2.6,4.7,1.75,2.65,5.25,1533.68,1503.48
I2,08/12/00,Cagliari,Torino,0,1,A,0,1,A,1.75,2.8,5.0,1.75,2.6,4.5,1.65,2.7,6.2,1531.17,1505.67
I2,10/12/00,Chievo,Monza,5,1,H,3,1,H,1.61,2.9,5.9,1.5,2.9,5.8,1.55,3.0,6.3,1520.46,1423.97
I2,10/12/00,Crotone,Siena,2,2,D,1,1,D,2.0,2.65,4.0,1.9,2.5,3.8,1.85,2.6,4.7,1491.78,1492.85
I2,10/12/00,Piacenza,Genoa,2,1,H,1,0,H,1.85,2.75,4.4,1.8,2.5,4.5,1.75,2.65,5.2,1470.91,1502.47
I2,10/12/00,Pistoiese,Venezia,1,2,A,1,0,H,3.15,2.45,2.5,2.7,2.4,2.6,3.1,2.5,2.4,1472.79,1536.26
I2,10/12/00,Ravenna,Cittadella,0,0,D,0,0,D,2.3,2.6,3.2,2.2,2.4,3.3,2.2,2.5,3.5,1404.88,1478.33
I2,10/12/00,Salernitana,Empoli,0,0,D,0,0,D,1.85,2.7,4.6,1.7,2.7,4.5,1.7,2.7,5.5,1486.22,1487.52
I2,10/12/00,Ternana,Pescara,3,0,H,2,0,H,1.66,2.8,5.7,1.7,2.6,4.7,1.7,2.6,6.0,1509.09,1441.08
I2,10/12/00,Treviso,Ancona,0,0,D,0,0,D,2.25,2.55,3.35,2.3,2.4,3.0,2.2,2.45,3.65,1457.91,1519.56
