Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
P1,18/09/00,Boavista,Sp Braga,1,2,A,1,1,D,1.66,3.35,4.5,1.45,3.5,5.0,1.62,3.3,5.0,1.6,3.3,4.8,1551.68,1494.81
P1,18/09/00,Campomaiorense,Porto,0,5,A,0,2,A,4.1,3.3,1.75,4.2,3.2,1.6,4.0,3.25,1.75,3.8,3.15,1.8,1375.05,1663.86
P1,18/09/00,Benfica,Est Amadora,2,1,H,0,0,D,1.25,4.05,9.0,1.2,4.7,9.0,1.25,4.6,9.0,1.2,5.0,9.5,1599.0,1436.52
P1,22/09/00,Salgueiros,Guimaraes,2,1,H,1,0,H,1.9,3.3,3.4,1.9,2.9,3.2,,,,2.1,2.95,3.1,1401.38,1449.02
P1,23/09/00,Boavista,Benfica,1,0,H,1,0,H,2.3,3.2,2.65,2.2,2.9,2.7,2.5,3.0,2.6,2.5,2.9,2.55,1533.89,1603.52
P1,23/09/00,Gil Vicente,Sp Lisbon,0,2,A,0,0,D,3.35,3.3,1.9,3.2,2.9,1.9,3.4,3.2,1.91,3.1,3.2,2.0,1455.21,1641.3
P1,24/09/00,Aves,Farense,3,1,H,2,0,H,2.25,2.9,3.0,2.0,2.9,3.0,2.25,3.1,2.75,2.1,3.1,3.0,1365.17,1411.23
P1,24/09/00,Beira Mar,Campomaiorense,0,0,D,0,0,D,2.05,3.1,3.3,2.1,2.9,2.9,2.0,3.1,3.2,1.9,3.1,3.5,1365.62,1368.74
P1,24/09/00,Est Amadora,Belenenses,0,2,A,0,1,A,2.2,3.05,2.9,2.1,2.9,2.9,2.25,3.0,2.8,2.2,3.0,2.85,1432.0,1418.99
P1,24/09/00,Porto,Maritimo,1,0,H,1,0,H,1.2,4.5,10.0,1.2,4.7,9.0,1.25,4.5,9.0,1.2,5.0,9.5,1670.17,1480.68
P1,24/09/00,Sp Braga,Alverca,1,1,D,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,5.75,1.45,3.5,6.0,1512.6,1381.51
P1,24/09/00,Leiria,Pacos Ferreira,1,4,A,0,2,A,1.7,3.3,4.2,1.7,3.1,3.8,1.67,3.4,4.2,1.7,3.25,4.1,1468.37,1404.37
P1,30/09/00,Guimaraes,Aves,2,2,D,2,0,H,1.41,3.65,6.7,1.4,3.6,5.5,1.44,3.6,6.5,1.4,3.6,7.0,1438.39,1375.74
P1,01/10/00,Alverca,Gil Vicente,2,0,H,1,0,H,1.85,3.25,3.5,1.9,2.9,3.2,1.9,3.2,3.4,1.8,3.2,3.7,1388.78,1445.75
P1,01/10/00,Campomaiorense,Leiria,1,1,D,1,1,D,2.0,3.0,3.35,1.9,2.9,3.2,2.1,3.1,3.1,2.0,3.0,3.3,1372.14,1450.37
P1,01/10/00,Maritimo,Beira Mar,2,1,H,1,0,H,1.4,3.5,6.5,1.4,3.6,5.5,1.44,3.6,6.5,1.4,3.6,6.7,1476.71,1362.22
P1,01/10/00,Pacos Ferreira,Est Amadora,4,1,H,2,0,H,1.66,3.3,4.4,1.5,3.4,4.7,1.67,3.3,4.33,1.75,3.25,3.85,1422.37,1415.57
P1,01/10/00,Sp Lisbon,Salgueiros,2,0,H,0,0,D,1.33,3.8,8.0,1.25,4.3,8.0,1.33,4.0,7.5,1.3,4.0,8.5,1650.76,1412.01
P1,02/10/00,Belenenses,Boavista,2,2,D,1,2,A,2.3,3.1,2.65,2.4,2.9,2.4,2.4,3.0,2.63,2.4,2.9,2.65,1435.42,1545.3
P1,02/10/00,Benfica,Sp Braga,2,2,D,0,1,A,1.5,3.45,5.6,1.5,3.4,4.7,1.5,3.6,5.0,1.5,3.6,5.5,1592.11,1505.33
P1,02/10/00,Farense,Porto,1,3,A,0,1,A,4.1,3.3,1.75,4.5,3.3,1.55,4.5,3.2,1.7,4.1,3.25,1.7,1400.66,1674.14
P1,13/10/00,Boavista,Pacos Ferreira,1,0,H,0,0,D,1.55,3.2,5.8,1.45,3.5,5.0,1.5,3.5,5.5,1.6,3.4,4.5,1544.94,1431.14
P1,14/10/00,Aves,Sp Lisbon,3,4,A,1,1,D,4.2,3.3,1.7,4.5,3.3,1.55,4.5,3.25,1.67,4.5,3.25,1.65,1381.2,1653.87
P1,14/10/00,Sp Braga,Gil Vicente,3,1,H,1,1,D,1.4,3.75,6.5,1.45,3.5,5.0,1.36,3.75,7.5,1.4,3.6,6.7,1511.47,1434.79
P1,14/10/00,Leiria,Maritimo,1,0,H,0,0,D,2.05,3.1,3.0,2.1,2.9,2.9,2.0,3.0,3.3,1.9,2.95,3.6,1451.15,1482.34
P1,15/10/00,Beira Mar,Farense,0,2,A,0,1,A,2.25,3.1,2.75,2.2,2.9,2.7,2.2,3.0,2.9,2.15,3.0,2.95,1356.59,1393.93
P1,15/10/00,Est Amadora,Campomaiorense,4,0,H,2,0,H,2.1,3.3,2.9,2.0,2.9,3.0,2.05,3.0,3.2,1.85,2.9,3.9,1406.8,1371.36
P1,15/10/00,Porto,Guimaraes,2,0,H,1,0,H,1.3,4.6,6.8,1.15,5.5,11.0,1.25,4.5,9.0,1.3,4.0,8.5,1680.87,1432.93
P1,15/10/00,Benfica,Belenenses,1,0,H,1,0,H,1.5,3.6,5.0,1.5,3.4,4.7,1.5,3.5,5.5,1.45,3.6,5.5,1585.97,1435.78
P1,15/10/00,Salgueiros,Alverca,3,1,H,1,0,H,1.75,3.0,4.5,1.55,3.3,4.5,1.67,3.3,4.33,1.75,3.25,3.9,1408.9,1399.74
P1,20/10/00,Campomaiorense,Boavista,0,0,D,0,0,D,,,,3.3,3.0,1.85,3.4,3.0,2.0,3.45,3.1,1.9,1363.5,1550.59
P1,21/10/00,Pacos Ferreira,Benfica,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.7,3.1,2.3,,,,1425.49,1590.76
P1,21/10/00,Sp Lisbon,Porto,0,1,A,0,0,D,2.1,3.0,2.9,2.0,2.9,3.0,2.2,3.0,3.0,2.25,2.87,3.0,1660.62,1683.84
