Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
T1,15/09/00,Kocaelispor,Galatasaray,1,4,A,1,1,D,,,,4.7,3.4,1.5,7.0,3.2,1.4,4.8,3.5,1.55,1384.71,1694.94
T1,16/09/00,Besiktas,Fenerbahce,3,0,H,1,0,H,,,,2.2,2.9,2.7,2.2,3.0,2.6,2.0,3.1,3.15,1675.41,1606.45
T1,16/09/00,Denizlispor,Bursaspor,1,1,D,1,1,D,,,,1.7,3.2,3.6,2.0,3.2,2.8,1.75,3.35,3.7,1410.77,1396.34
T1,16/09/00,Samsunspor,Erzurumspor,2,2,D,1,0,H,,,,1.45,3.5,5.0,1.44,3.2,6.0,1.45,3.7,5.5,1491.08,1388.35
T1,17/09/00,Antalyaspor,Rizespor,2,1,H,2,1,H,,,,1.55,3.3,4.5,1.9,3.0,3.2,1.65,3.4,4.2,1434.99,1422.29
T1,17/09/00,Genclerbirligi,Gaziantepspor,2,0,H,0,0,D,,,,2.1,3.0,2.8,2.0,3.0,3.0,2.15,3.3,2.7,1541.69,1554.72
T1,17/09/00,Istanbulspor,Trabzonspor,1,0,H,1,0,H,,,,3.6,3.2,1.7,4.5,3.4,1.53,4.1,3.4,1.65,1390.94,1540.47
T1,17/09/00,Siirt Jet-PA,Ankaragucu,1,1,D,1,0,H,,,,2.3,3.0,2.4,2.4,3.0,2.4,2.45,3.25,2.35,1365.09,1416.69
T1,17/09/00,Yozgatspor,Adanaspor,4,1,H,2,0,H,,,,2.1,3.0,2.8,2.2,2.9,2.7,2.25,3.3,2.55,1401.15,1446.77
T1,22/09/00,Ankaragucu,Besiktas,1,5,A,0,2,A,,,,4.0,3.3,1.6,,,,3.9,3.4,1.7,1418.42,1682.27
T1,23/09/00,Adanaspor,Antalyaspor,1,1,D,0,0,D,,,,2.0,3.0,2.9,2.0,3.0,3.0,2.05,3.3,2.85,1436.21,1443.57
T1,23/09/00,Bursaspor,Samsunspor,0,2,A,0,0,D,,,,2.2,3.0,2.6,2.15,2.88,2.75,2.2,3.25,2.65,1400.31,1484.51
T1,23/09/00,Gaziantepspor,Siirt Jet-PA,4,0,H,1,0,H,,,,1.35,3.8,6.2,1.2,4.0,10.0,1.3,4.4,7.0,1545.29,1363.36
T1,23/09/00,Galatasaray,Istanbulspor,1,1,D,1,1,D,,,,1.2,4.7,9.0,1.13,5.5,10.0,1.2,5.0,9.5,1700.68,1405.21
T1,24/09/00,Denizlispor,Rizespor,0,0,D,0,0,D,,,,1.8,3.0,3.5,1.7,3.1,3.6,1.8,3.2,3.7,1406.8,1413.71
T1,24/09/00,Erzurumspor,Kocaelispor,1,0,H,0,0,D,,,,1.65,3.2,3.8,1.5,3.1,5.5,1.65,3.4,4.2,1394.92,1378.97
T1,24/09/00,Fenerbahce,Yozgatspor,3,1,H,1,0,H,,,,1.2,4.7,9.0,1.14,5.0,10.0,1.2,5.0,9.5,1599.59,1411.71
T1,24/09/00,Trabzonspor,Genclerbirligi,2,0,H,0,0,D,,,,1.6,3.3,4.0,1.5,3.4,5.0,1.8,3.4,3.45,1526.2,1551.12
T1,29/09/00,Denizlispor,Samsunspor,3,1,H,3,1,H,,,,2.2,3.0,2.6,2.0,3.0,3.0,2.1,3.25,2.85,1403.53,1497.58
T1,30/09/00,Genclerbirligi,Galatasaray,1,4,A,1,2,A,,,,3.3,3.1,1.8,4.33,3.25,1.6,3.75,3.35,1.75,1541.28,1690.51
T1,30/09/00,Istanbulspor,Erzurumspor,1,0,H,0,0,D,,,,1.65,3.2,3.8,1.7,3.1,3.8,1.85,3.3,3.4,1415.38,1403.4
T1,30/09/00,Kocaelispor,Bursaspor,0,0,D,0,0,D,,,,1.85,3.0,3.3,1.85,3.1,3.3,2.1,3.25,2.85,1370.49,1387.24
T1,01/10/00,Adanaspor,Rizespor,1,0,H,1,0,H,,,,1.8,3.0,3.5,1.75,3.1,3.6,1.8,3.3,3.6,1432.95,1416.98
T1,01/10/00,Antalyaspor,Fenerbahce,0,1,A,0,0,D,,,,3.1,3.0,1.9,4.2,3.25,1.62,3.1,3.2,2.0,1446.83,1603.59
T1,01/10/00,Besiktas,Gaziantepspor,2,4,A,0,1,A,,,,1.35,3.8,6.2,1.3,4.0,7.0,1.3,4.4,7.0,1689.28,1549.41
T1,01/10/00,Siirt Jet-PA,Trabzonspor,1,4,A,1,2,A,,,,4.5,3.3,1.55,4.5,3.3,1.57,3.9,3.4,1.7,1359.24,1536.04
T1,01/10/00,Yozgatspor,Ankaragucu,0,1,A,0,0,D,,,,1.8,3.1,3.3,1.8,3.2,3.4,1.85,3.25,3.4,1407.71,1411.41
T1,13/10/00,Adanaspor,Denizlispor,2,3,A,1,1,D,,,,,,,,,,,,,1441.43,1415.82
T1,14/10/00,Bursaspor,Istanbulspor,2,5,A,1,0,H,,,,2.1,2.9,2.9,1.8,3.1,3.4,2.25,3.25,2.6,1390.18,1423.99
T1,14/10/00,Gaziantepspor,Yozgatspor,3,1,H,0,0,D,,,,1.35,3.8,6.2,1.33,3.75,6.5,1.35,4.0,6.7,1569.39,1391.83
T1,14/10/00,Galatasaray,Siirt Jet-PA,4,1,H,3,0,H,,,,1.1,7.0,14.0,1.1,5.5,12.0,1.13,6.0,12.0,1701.25,1349.46
T1,14/10/00,Trabzonspor,Besiktas,2,0,H,2,0,H,,,,2.3,3.0,2.4,2.4,3.0,2.4,2.3,3.2,2.55,1545.82,1669.3
T1,15/10/00,Ankaragucu,Antalyaspor,1,1,D,0,0,D,,,,2.1,3.0,2.8,2.0,3.0,3.0,2.0,3.3,3.0,1427.29,1436.35
T1,15/10/00,Erzurumspor,Genclerbirligi,1,2,A,0,0,D,,,,2.35,3.0,2.35,2.4,3.0,2.4,2.45,3.2,2.4,1394.79,1530.54
T1,15/10/00,Fenerbahce,Rizespor,1,0,H,0,0,D,,,,1.2,4.7,9.0,1.17,5.0,9.0,1.2,5.2,9.0,1614.07,1408.5
T1,15/10/00,Samsunspor,Kocaelispor,0,1,A,0,0,D,,,,1.4,3.6,5.5,1.33,3.5,7.0,1.45,3.75,5.5,1485.29,1367.55
