Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,19/08/00,Wycombe,Northampton,1,0,H,0,0,D,4803.0,Paul Alcock,12,7,8,5,0,0,4,2,12,13,4,1,1,3,0,0,10,30,,,,1.85,3.0,3.3,1.85,3.25,3.75,1.91,3.25,3.4,1.83,3.5,3.5,1358.42,1352.61
E2,20/08/00,Peterboro,Bristol Rvs,2,2,D,1,1,D,6997.0,Scott Mathieson,10,17,4,7,1,1,1,6,11,15,2,2,1,4,0,0,10,40,,,,2.2,3.0,2.6,2.25,3.25,2.75,2.38,3.2,2.6,2.25,3.25,2.75,1336.53,1386.35
E2,26/08/00,Cambridge,Bristol City,1,0,H,0,0,D,3715.0,Mark Halsey,7,7,4,2,1,0,3,4,16,15,6,3,0,1,0,0,0,10,,,,2.6,3.0,2.2,2.75,3.25,2.25,2.75,3.2,2.25,2.75,3.25,2.25,1292.81,1384.64
E2,26/08/00,Luton,Bournemouth,1,0,H,0,0,D,5221.0,David Crick,13,7,6,2,0,0,7,4,16,13,2,3,1,2,0,0,10,20,,,,2.0,3.0,2.9,2.0,3.25,3.25,2.0,3.2,3.2,2.0,3.25,3.25,1310.46,1329.28
E2,26/08/00,Millwall,Wycombe,1,2,A,1,0,H,10139.0,Phil Dowd,7,12,2,5,0,2,3,5,26,22,3,5,3,3,2,0,80,30,,,,1.6,3.3,4.0,1.6,3.4,5.0,1.53,3.5,5.5,1.57,3.6,5.0,1457.7,1367.23
E2,26/08/00,Northampton,Reading,2,0,H,1,0,H,5728.0,Phil Joslin,13,10,6,2,0,1,3,4,14,24,4,1,1,2,0,0,10,20,,,,2.35,3.0,2.35,2.6,3.2,2.35,2.5,3.25,2.4,2.5,3.2,2.5,1343.8,1395.37
E2,26/08/00,Oldham,Peterboro,1,4,A,0,2,A,4967.0,David Pugh,16,13,12,6,0,0,2,5,8,15,3,5,3,2,0,0,30,20,,,,1.9,3.1,3.0,1.9,3.25,3.5,1.91,3.25,3.4,2.0,3.25,3.25,1341.9,1334.74
E2,26/08/00,Oxford,Brentford,0,1,A,0,1,A,4756.0,Richard Beeby,5,7,2,3,0,0,8,7,14,16,3,6,0,3,0,0,0,30,,,,2.3,2.9,2.5,2.5,3.2,2.5,2.4,3.25,2.5,2.5,3.2,2.5,1250.07,1275.19
E2,26/08/00,Rotherham,Bury,1,2,A,1,1,D,3739.0,Bill Burns,9,6,6,3,0,0,8,6,9,10,2,3,1,0,0,0,10,0,,,,2.0,3.0,2.9,2.0,3.25,3.25,1.91,3.2,3.5,1.9,3.2,3.6,1351.56,1339.37
E2,26/08/00,Stoke,Notts County,0,1,A,0,0,D,13041.0,Mike Pike,21,8,7,4,0,0,8,3,13,6,3,5,3,0,0,0,30,0,,,,1.65,3.2,3.8,1.6,3.5,4.5,1.57,3.5,5.0,1.57,3.6,5.0,1459.24,1329.24
