Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,EloHome,EloAway
E0,28/08/99,Derby,Everton,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1655.74,1625.19
E0,28/08/99,Liverpool,Arsenal,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1699.64,1863.33
E0,28/08/99,Southampton,Sheffield Weds,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1638.53,1588.85
E0,28/08/99,Tottenham,Leeds,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,1669.26,1758.46
E0,28/08/99,Wimbledon,Chelsea,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1581.23,1816.36
E0,29/08/99,Sunderland,Coventry,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1799.33,1620.06
E0,30/08/99,Leicester,Watford,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1673.33,1646.75
E0,30/08/99,Man United,Newcastle,5.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1894.2,1593.78
E0,11/09/99,Arsenal,Aston Villa,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1848.56,1704.36
E0,11/09/99,Chelsea,Newcastle,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1824.23,1591.51
E0,11/09/99,Coventry,Leeds,3.0,4.0,A,2.0,3.0,A,,,,,,,,,,,,,1628.39,1771.35
E0,11/09/99,Liverpool,Man United,2.0,3.0,A,1.0,3.0,A,,,,,,,,,,,,,1714.41,1896.47
E0,11/09/99,Middlesbrough,Southampton,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,,1676.67,1645.95
E0,11/09/99,Sheffield Weds,Everton,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,,1581.43,1617.18
E0,11/09/99,Sunderland,Leicester,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1791.0,1681.47
E0,11/09/99,West Ham,Watford,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1726.94,1638.61
E0,11/09/99,Wimbledon,Derby,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,,1573.36,1663.75
E0,12/09/99,Bradford,Tottenham,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1649.23,1656.37
E0,18/09/99,Aston Villa,Bradford,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1699.44,1645.97
E0,18/09/99,Derby,Sunderland,0.0,5.0,A,0.0,2.0,A,,,,,,,,,,,,,1664.1,1796.76
E0,18/09/99,Leicester,Liverpool,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,,1675.71,1704.81
E0,18/09/99,Man United,Wimbledon,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1906.07,1573.01
E0,18/09/99,Southampton,Arsenal,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1637.94,1853.48
E0,18/09/99,Watford,Chelsea,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1632.29,1827.44
E0,19/09/99,Everton,West Ham,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1631.97,1733.26
E0,19/09/99,Leeds,Middlesbrough,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1782.31,1684.68
E0,19/09/99,Newcastle,Sheffield Weds,8.0,0.0,H,4.0,0.0,H,,,,,,,,,,,,,1588.3,1566.64
E0,19/09/99,Tottenham,Coventry,3.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,,1659.63,1617.43
E0,25/09/99,Arsenal,Watford,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1861.97,1648.13
E0,25/09/99,Coventry,West Ham,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1609.78,1720.71
E0,25/09/99,Derby,Bradford,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1652.77,1638.66
E0,25/09/99,Leeds,Newcastle,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,,1788.38,1596.59
E0,25/09/99,Leicester,Aston Villa,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1673.19,1706.75
E0,25/09/99,Man United,Southampton,3.0,3.0,D,2.0,1.0,H,,,,,,,,,,,,,1895.48,1629.45
E0,25/09/99,Middlesbrough,Chelsea,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1678.61,1811.6
E0,25/09/99,Sunderland,Sheffield Weds,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1808.09,1558.35
E0,26/09/99,Wimbledon,Tottenham,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1583.6,1667.28
E0,27/09/99,Liverpool,Everton,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1707.33,1644.52
E0,02/10/99,Aston Villa,Liverpool,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1696.61,1689.37
E0,02/10/99,Bradford,Sunderland,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,,1655.12,1811.04
E0,02/10/99,Everton,Coventry,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,1662.48,1622.67
E0,02/10/99,Sheffield Weds,Wimbledon,5.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1555.4,1583.01
E0,03/10/99,Chelsea,Man United,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1822.92,1885.69
E0,03/10/99,Newcastle,Middlesbrough,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1592.66,1667.29
E0,03/10/99,Tottenham,Leicester,2.0,3.0,A,2.0,1.0,H,,,,,,,,,,,,,1667.87,1683.33
E0,03/10/99,Watford,Leeds,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,1644.6,1792.31
E0,03/10/99,West Ham,Arsenal,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1707.82,1865.5
E0,04/10/99,Southampton,Derby,3.0,3.0,D,2.0,1.0,H,,,,,,,,,,,,,1639.24,1636.31
E0,16/10/99,Arsenal,Everton,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1850.94,1657.7
E0,16/10/99,Coventry,Newcastle,4.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1627.45,1604.25
E0,16/10/99,Derby,Tottenham,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1639.91,1652.39
E0,16/10/99,Leeds,Sheffield Weds,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1803.1,1565.33
E0,16/10/99,Leicester,Southampton,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1698.81,1635.64
E0,16/10/99,Liverpool,Chelsea,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1693.11,1834.09
E0,16/10/99,Man United,Watford,4.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1874.52,1633.81
E0,16/10/99,Wimbledon,Bradford,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,,1573.08,1644.61
E0,17/10/99,Middlesbrough,West Ham,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1655.7,1722.38
E0,18/10/99,Sunderland,Aston Villa,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1821.55,1692.87
E0,23/10/99,Aston Villa,Wimbledon,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,1687.58,1584.56
E0,23/10/99,Bradford,Leicester,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1633.13,1705.84
E0,23/10/99,Chelsea,Arsenal,2.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,,1820.12,1854.84
E0,23/10/99,Sheffield Weds,Coventry,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1562.2,1635.69
E0,23/10/99,Southampton,Liverpool,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,1628.61,1707.08
E0,23/10/99,Tottenham,Man United,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1667.97,1877.6
E0,24/10/99,Everton,Leeds,4.0,4.0,D,3.0,2.0,H,,,,,,,,,,,,,1653.8,1806.23
E0,24/10/99,Watford,Middlesbrough,1.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,1630.73,1667.0
E0,24/10/99,West Ham,Sunderland,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1711.08,1826.84
E0,25/10/99,Newcastle,Derby,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1596.01,1624.33
E0,27/10/99,Liverpool,West Ham,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1707.85,1711.65
E0,30/10/99,Arsenal,Newcastle,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1869.66,1605.97
E0,30/10/99,Derby,Chelsea,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1614.37,1805.3
E0,30/10/99,Leeds,West Ham,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1804.36,1702.53
E0,30/10/99,Leicester,Sheffield Weds,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1694.32,1561.25
E0,30/10/99,Man United,Aston Villa,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1861.28,1681.01
E0,30/10/99,Middlesbrough,Everton,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1681.77,1655.67
E0,30/10/99,Wimbledon,Southampton,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1591.13,1627.84
E0,31/10/99,Coventry,Watford,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1636.64,1615.96
E0,31/10/99,Sunderland,Tottenham,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1826.27,1684.29
E0,01/11/99,Liverpool,Bradford,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1716.97,1644.65
