Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
SC1,07/08/99,Clydebank,Airdrie,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1352.5,1441.77
SC1,07/08/99,Dunfermline,Inverness C,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1388.45,1430.55
SC1,07/08/99,Falkirk,Morton,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1477.92,1403.47
SC1,07/08/99,Livingston,Raith Rvs,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1469.2,1333.77
SC1,07/08/99,St Mirren,Ayr,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1393.38,1428.29
SC1,14/08/99,Airdrie,Dunfermline,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1454.66,1398.89
SC1,14/08/99,Ayr,Livingston,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1430.6,1461.83
SC1,14/08/99,Inverness C,Falkirk,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1420.11,1459.62
SC1,14/08/99,Morton,Clydebank,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1421.77,1339.61
SC1,14/08/99,Raith Rvs,St Mirren,0.0,6.0,A,,,,,,,,,,,,,,,,,,,,,,1341.14,1391.07
SC1,21/08/99,Clydebank,Raith Rvs,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1345.62,1326.85
SC1,21/08/99,Dunfermline,Morton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1404.15,1415.76
SC1,21/08/99,Falkirk,Ayr,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1474.27,1415.66
SC1,21/08/99,Livingston,Airdrie,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1476.77,1449.4
SC1,21/08/99,St Mirren,Inverness C,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1405.36,1405.46
SC1,28/08/99,Airdrie,Raith Rvs,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1441.29,1330.96
SC1,28/08/99,Ayr,Inverness C,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1408.5,1396.46
SC1,28/08/99,Dunfermline,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1413.54,1481.43
SC1,28/08/99,Morton,Livingston,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1406.37,1484.88
SC1,29/08/99,Clydebank,St Mirren,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1341.51,1414.36
SC1,04/09/99,Falkirk,Clydebank,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1482.58,1328.04
SC1,04/09/99,Inverness C,Morton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1387.86,1405.6
SC1,04/09/99,Livingston,Dunfermline,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1485.65,1412.39
SC1,04/09/99,Raith Rvs,Ayr,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1350.22,1417.1
SC1,04/09/99,St Mirren,Airdrie,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1427.83,1422.03
SC1,11/09/99,Ayr,Airdrie,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1405.79,1413.22
SC1,11/09/99,Dunfermline,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1430.65,1436.64
SC1,11/09/99,Falkirk,Livingston,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1487.27,1467.39
SC1,11/09/99,Inverness C,Clydebank,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1384.95,1323.35
SC1,11/09/99,Morton,Raith Rvs,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1408.51,1361.53
SC1,18/09/99,Airdrie,Falkirk,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1403.97,1470.62
SC1,18/09/99,Clydebank,Ayr,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1316.28,1415.04
SC1,18/09/99,Livingston,Inverness C,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1484.04,1392.02
SC1,18/09/99,Raith Rvs,Dunfermline,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1354.02,1427.35
SC1,18/09/99,St Mirren,Morton,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1439.94,1416.02
SC1,25/09/99,Dunfermline,Ayr,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1428.31,1427.58
SC1,25/09/99,Falkirk,St Mirren,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1471.82,1448.16
SC1,25/09/99,Inverness C,Raith Rvs,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1398.3,1353.06
SC1,25/09/99,Livingston,Clydebank,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1477.76,1303.74
SC1,25/09/99,Morton,Airdrie,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1407.8,1402.77
SC1,02/10/99,Airdrie,Inverness C,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1418.94,1380.86
SC1,02/10/99,Ayr,Morton,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1418.61,1391.63
SC1,02/10/99,Raith Rvs,Falkirk,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1370.5,1480.05
SC1,02/10/99,St Mirren,Livingston,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1439.93,1482.04
SC1,09/10/99,Clydebank,Dunfermline,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1299.46,1437.28
SC1,16/10/99,Clydebank,Morton,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1288.32,1383.51
SC1,16/10/99,Dunfermline,Airdrie,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1448.42,1414.22
SC1,16/10/99,Falkirk,Inverness C,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1467.21,1385.58
SC1,16/10/99,Livingston,Ayr,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1484.1,1426.73
SC1,16/10/99,St Mirren,Raith Rvs,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1437.87,1383.34
SC1,23/10/99,Airdrie,Clydebank,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1418.82,1275.65
