Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
D2,13/08/99,Chemnitz,M'gladbach,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1480.0,1452.1
D2,13/08/99,Cottbus,F Koln,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1477.84,1448.28
D2,13/08/99,Mainz,Offenbach,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1502.42,1480.0
D2,13/08/99,St Pauli,Greuther Furth,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1512.03,1474.52
D2,14/08/99,FC Koln,Oberhausen,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1485.92,1482.8
D2,15/08/99,Aachen,Stuttgarter K,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1480.0,1449.31
D2,15/08/99,Hannover,TB Berlin,2.0,3.0,A,2.0,2.0,D,,,,,,,,,,,,1552.12,1517.98
D2,15/08/99,Nurnberg,Mannheim,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1550.58,1480.0
D2,16/08/99,Karlsruhe,Bochum,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,1552.04,1474.8
D2,20/08/99,Bochum,Aachen,5.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1493.18,1488.01
D2,20/08/99,Greuther Furth,FC Koln,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1479.22,1494.82
D2,20/08/99,Mannheim,Chemnitz,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1473.19,1488.1
D2,21/08/99,TB Berlin,Karlsruhe,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1535.08,1533.66
D2,22/08/99,F Koln,Mainz,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1440.24,1498.19
D2,22/08/99,M'gladbach,Hannover,2.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,1444.0,1535.02
D2,22/08/99,Oberhausen,Cottbus,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,1473.9,1485.88
D2,22/08/99,Stuttgarter K,St Pauli,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1441.3,1507.33
D2,23/08/99,Offenbach,Nurnberg,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,1484.23,1557.39
D2,27/08/99,Chemnitz,Offenbach,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1478.6,1470.77
D2,27/08/99,FC Koln,Stuttgarter K,4.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,1497.8,1452.58
D2,27/08/99,Hannover,Mannheim,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,1547.84,1482.69
D2,28/08/99,Aachen,TB Berlin,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,1479.18,1531.53
D2,29/08/99,Cottbus,Mainz,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1501.48,1487.2
D2,29/08/99,Nurnberg,F Koln,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1570.85,1451.23
D2,29/08/99,Oberhausen,Greuther Furth,3.0,4.0,A,3.0,1.0,H,,,,,,,,,,,,1458.3,1476.24
D2,29/08/99,St Pauli,Bochum,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1496.05,1502.01
D2,30/08/99,Karlsruhe,M'gladbach,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1537.21,1431.18
D2,10/09/99,Mannheim,Karlsruhe,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1488.22,1543.06
D2,10/09/99,Offenbach,Hannover,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1462.03,1542.31
D2,10/09/99,TB Berlin,St Pauli,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1533.23,1492.75
D2,11/09/99,M'gladbach,Aachen,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,1425.33,1477.48
D2,12/09/99,F Koln,Chemnitz,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1445.72,1487.34
D2,12/09/99,Greuther Furth,Cottbus,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1491.64,1510.01
D2,12/09/99,Mainz,Nurnberg,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1478.67,1576.36
D2,12/09/99,Stuttgarter K,Oberhausen,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,,1445.02,1442.9
D2,13/09/99,Bochum,FC Koln,2.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,1505.31,1505.36
D2,17/09/99,Karlsruhe,Offenbach,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1544.68,1448.82
D2,17/09/99,Oberhausen,Bochum,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1446.47,1489.31
D2,17/09/99,St Pauli,M'gladbach,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,1485.05,1411.12
D2,18/09/99,Chemnitz,Mainz,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1476.92,1478.59
D2,19/09/99,Aachen,Mannheim,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,1491.69,1486.6
D2,19/09/99,Cottbus,Nurnberg,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1500.39,1576.44
D2,19/09/99,Greuther Furth,Stuttgarter K,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1501.26,1441.45
D2,19/09/99,Hannover,F Koln,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1555.52,1456.14
D2,20/09/99,FC Koln,TB Berlin,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1521.36,1540.93
D2,24/09/99,Bochum,Greuther Furth,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1478.85,1495.88
D2,24/09/99,Mainz,Hannover,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1482.04,1561.54
